,account_id,account_id_check,tweet_id,account_username,account_name,tweet_text,tweet_created_at,tweet_language,retweet_count,reply_count,like_count,quote_count,profile_image_url,is_reclaimable
0,1308068738625921029,1308068738625921029,1534684037419237378,Rory_Marcus_,Rory M. arcus 🌻,"RT @shashj: ""The Ukrainians are fighting around Severodonetsk and Lysychansk with their head in a noose. But those surrounding efforts had…",2022-06-08 23:49:22+00:00,en,89,0,0,0,https://pbs.twimg.com/profile_images/1308069269507276801/ojec-5Uy_normal.jpg,True
1,805559074364551173,805559074364551173,1534681270533382145,s_sharky214,sharky214🦈 Never forget Jan6th 😷 PutinWarCrimes,RT @Angry_Staffer: We’re over 50 days into the Russo-Ukrainian war. Now seemed like a good time to give an overview of the reality on the g…,2022-06-08 23:38:22+00:00,en,894,0,0,0,https://pbs.twimg.com/profile_images/1486429241336074249/jAPl7qhg_normal.jpg,True
2,1369947001996054528,1369947001996054528,1534677905862799365,EyesRight6,Eyes Right 👀👉 🇬🇧 🇮🇱 🇺🇸 🇺🇦,"RT @IntelArrow: After several months of looking at public Russo-Ukrainian war maps, I decided to make my own!

My aim is to create an unbia…",2022-06-08 23:25:00+00:00,en,4,0,0,0,https://pbs.twimg.com/profile_images/1369947252622512129/lRy1Tf2f_normal.jpg,True
3,2829989565,2829989565,1534674218666840064,teollom,Terri O,RT @Angry_Staffer: We’re over 50 days into the Russo-Ukrainian war. Now seemed like a good time to give an overview of the reality on the g…,2022-06-08 23:10:21+00:00,en,894,0,0,0,https://pbs.twimg.com/profile_images/1203767337993814017/57Vv8kKc_normal.jpg,True
4,634726425,634726425,1534672780171661313,mikekraft5,mike kraft,"RT @shashj: ""The Ukrainians are fighting around Severodonetsk and Lysychansk with their head in a noose. But those surrounding efforts had…",2022-06-08 23:04:38+00:00,en,89,0,0,0,https://pbs.twimg.com/profile_images/1322706169094393857/MyJ8IBvg_normal.jpg,True
5,1132418411483533317,1132418411483533317,1534670487783198720,hanna67756265,hanna,"RT @TimothyDSnyder: ""Some observers of the Russo-Ukrainian war seem to think that its greatest danger is that Ukraine will win, or win too…",2022-06-08 22:55:31+00:00,en,1513,0,0,0,https://pbs.twimg.com/profile_images/1132419663282003968/fWKumaXR_normal.jpg,True
6,362375838,362375838,1534668615563112448,ZET_DAN,ロシア-ウクライナ戦争２０２２ 特別軍事作戦 Russo-Ukrainian War 2022,戦争の世界‼ロシア-ウクライナ戦争２０２２ 特別軍事作戦 Russo-Ukrainian War 2022 戦争動画まとめ https://t.co/j56IE6xgo9,2022-06-08 22:48:05+00:00,ja,0,0,0,0,https://pbs.twimg.com/profile_images/1503952183615963136/Nfgp6vns_normal.jpg,True
7,362375838,362375838,1534667117328420864,ZET_DAN,ロシア-ウクライナ戦争２０２２ 特別軍事作戦 Russo-Ukrainian War 2022,セベロバンデライト‼戦争の世界‼ロシア-ウクライナ戦争２０２２ 特別軍事作戦 Russo-Ukrainian War 2022 戦争動画まとめ https://t.co/40INxWwYiW,2022-06-08 22:42:08+00:00,ja,0,0,1,0,https://pbs.twimg.com/profile_images/1503952183615963136/Nfgp6vns_normal.jpg,True
8,362375838,362375838,1534666161576550400,ZET_DAN,ロシア-ウクライナ戦争２０２２ 特別軍事作戦 Russo-Ukrainian War 2022,戦争の世界‼ロシア-ウクライナ戦争２０２２ 特別軍事作戦 Russo-Ukrainian War 2022 戦争動画まとめ https://t.co/DGe5w8dhHI,2022-06-08 22:38:20+00:00,ja,0,0,1,0,https://pbs.twimg.com/profile_images/1503952183615963136/Nfgp6vns_normal.jpg,True
9,3226444342,3226444342,1534666151099260929,wjclvrhs,William Culverhouse,"Now that gun control is the cause du jour, what happened to the Russo-Ukrainian War? Is it no longer fashionable to talk about brave Ukrainians grabbing their guns and defending their country?",2022-06-08 22:38:17+00:00,en,0,0,0,0,https://pbs.twimg.com/profile_images/1414064575855702017/PQiO9pGi_normal.jpg,True
10,362375838,362375838,1534665625125064705,ZET_DAN,ロシア-ウクライナ戦争２０２２ 特別軍事作戦 Russo-Ukrainian War 2022,戦争の世界‼ロシア-ウクライナ戦争２０２２ 特別軍事作戦 Russo-Ukrainian War 2022 戦争動画まとめ https://t.co/IuVh6gFu5r,2022-06-08 22:36:12+00:00,ja,0,0,1,0,https://pbs.twimg.com/profile_images/1503952183615963136/Nfgp6vns_normal.jpg,True
11,1349866319143989254,1349866319143989254,1534663777236443141,G735Mikey,MikeyG735,RT @Angry_Staffer: We’re over 50 days into the Russo-Ukrainian war. Now seemed like a good time to give an overview of the reality on the g…,2022-06-08 22:28:51+00:00,en,894,0,0,0,https://pbs.twimg.com/profile_images/1524036726192316417/DZ3lYbU__normal.jpg,True
12,1357005589302435852,1357005589302435852,1534663236833927168,b_gawk,B'GAWK,RT @emeriticus: This is the single dumbest thing that has been written about the Russo-Ukrainian War and of course it was published in Nati…,2022-06-08 22:26:42+00:00,en,123,0,0,0,https://pbs.twimg.com/profile_images/1357005779291803649/0mFmMJ6x_normal.jpg,True
13,1731665011,1731665011,1534663174833811460,JukkaPSeppl,Jukka P.Seppälä 💛💙🇫🇮🇪🇺 #standwithUkraine,"RT @shashj: ""The Ukrainians are fighting around Severodonetsk and Lysychansk with their head in a noose. But those surrounding efforts had…",2022-06-08 22:26:28+00:00,en,89,0,0,0,https://pbs.twimg.com/profile_images/461152173674332160/buQC03nt_normal.jpeg,True
14,1559468120,1559468120,1534661575855861760,HazRobert,Robert Hazeltine,@victorklineTNL Some times I just close my eyes. Well at least turn off the TV as I witness the stupidity of us human beings.  This morning I could not watch the confronting Russo-Ukrainian War on TV. So consoling music it was. Thank god for small mercies like kids and dogs.,2022-06-08 22:20:06+00:00,en,0,0,3,0,https://pbs.twimg.com/profile_images/378800000099049533/8c4d5a976b887577f293796087139a1f_normal.png,True
15,1472942109548290048,1472942109548290048,1534661467059982338,danny28748565,Jacks,"@LaoTzu5 @johnthejack Imperialist Russia colonised Ukraine hundreds of years after we colonised Ireland. In any case firstly it was about getting rid of imaginary Nazis, now it's about getting rid of Ukraine. 
""The borders of Russia do not end anywhere” Putin 2016 https://t.co/FiXSSXN1vb",2022-06-08 22:19:41+00:00,en,0,1,1,0,https://pbs.twimg.com/profile_images/1496889925861527557/TjYmql3Z_normal.jpg,True
16,1529421994634137611,1529421994634137611,1534660465896349703,marifris,Frisse Start,"RT @shashj: ""The Ukrainians are fighting around Severodonetsk and Lysychansk with their head in a noose. But those surrounding efforts had…",2022-06-08 22:15:42+00:00,en,89,0,0,0,https://pbs.twimg.com/profile_images/1530945001626140672/JrdHCGF1_normal.jpg,True
17,1498751690002026498,1498751690002026498,1534660035074310144,BMH_2022,BMH,"RT @shashj: ""The Ukrainians are fighting around Severodonetsk and Lysychansk with their head in a noose. But those surrounding efforts had…",2022-06-08 22:13:59+00:00,en,89,0,0,0,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,True
18,863454640796389376,863454640796389376,1534658333075918854,erica_severns,Erica Severns 🇺🇸🇺🇦,"RT @shashj: ""The Ukrainians are fighting around Severodonetsk and Lysychansk with their head in a noose. But those surrounding efforts had…",2022-06-08 22:07:13+00:00,en,89,0,0,0,https://pbs.twimg.com/profile_images/1490397036625076225/QWuWfVRo_normal.jpg,True
19,19983022,19983022,1534655111292649472,bfbridgeforth,Brian F. Bridgeforth🌻,"RT @shashj: ""The Ukrainians are fighting around Severodonetsk and Lysychansk with their head in a noose. But those surrounding efforts had…",2022-06-08 21:54:25+00:00,en,89,0,0,0,https://pbs.twimg.com/profile_images/829808813964341248/FZ0CGPmY_normal.jpg,True
20,777745428188200960,777745428188200960,1534653042246750209,BassamMelh,Bassam Melhem 🇨🇦♥️🇺🇦,"@Jmergz1985 @sbaiocchi76 1. The correction up in energy prices from the pandemic's depressed lows, and the russo-ukrainian war, was a one time event.

Disappears after 12 months from the ""inflation rate"" even if #CrudeOil stays at $120 and #natgas at $9.

But highly likely both are lower by then.
2/3",2022-06-08 21:46:12+00:00,en,1,1,1,0,https://pbs.twimg.com/profile_images/872554898474188800/yQym3Rla_normal.jpg,True
21,1527358500879605762,1527358500879605762,1534651250742009858,popcorn70856213,Hillbilly 🇺🇸🏴‍☠️,RT @emeriticus: This is the single dumbest thing that has been written about the Russo-Ukrainian War and of course it was published in Nati…,2022-06-08 21:39:05+00:00,en,123,0,0,0,https://pbs.twimg.com/profile_images/1527409845799899143/9rl9bfA6_normal.jpg,True
22,369384556,369384556,1534649598085562368,t_pugacewicz,Tomasz Pugacewicz,"RT @shashj: ""The Ukrainians are fighting around Severodonetsk and Lysychansk with their head in a noose. But those surrounding efforts had…",2022-06-08 21:32:31+00:00,en,89,0,0,0,https://pbs.twimg.com/profile_images/594463048728981504/LsnUrTz-_normal.jpg,True
23,1371434223886864386,1371434223886864386,1534644685972594692,ElleAMillerAuth,Elle A. Miller,RT @Phlexphilosophy: @ElleAMillerAuth How has the Russo-Ukrainian war been influenced by economics? Will the conflict end with an armistice…,2022-06-08 21:13:00+00:00,en,1,0,0,0,https://pbs.twimg.com/profile_images/1527538552648654848/ZvOVW-c7_normal.jpg,True
24,104010758,104010758,1534644519030779904,mitsuya_niwa,みつや,"RT @shashj: ""The Ukrainians are fighting around Severodonetsk and Lysychansk with their head in a noose. But those surrounding efforts had…",2022-06-08 21:12:20+00:00,en,89,0,0,0,https://pbs.twimg.com/profile_images/1099542286/20090816_616399_normal.jpg,True
