,account_id,account_id_check,tweet_id,account_username,account_name,tweet_text,tweet_created_at,tweet_language,retweet_count,reply_count,like_count,quote_count,profile_image_url,is_reclaimable,tweet_text_translated_gpt3,tweet_emotion_gpt3
9,1110426911719784448,1110426911719784448,1535538605237624833,Ana02714304,Ana,RT @SusodeToro1: Publiqué opinión y fui colaborador de cabeceras de prensa y medios que ahora ni sigo ni puedo respetar. ¿Qué le ocurrió al…,2022-06-11 08:25:07,es,39,0,0,0,https://pbs.twimg.com/profile_images/1299795678479159296/JC4G4f3y_normal.jpg,1,"

I published an opinion and became a collaborator with media heads that I now neither follow nor can respect. What happened to them?",Respect
3,22755515,22755515,1535538088864272384,usuku,usuku +=+= 🇺🇦,"RT @GalileoArms: Por cierto, Aislin, estaba integrado en la infantería naval ucraniana, fuerzas regulares, no en Azov, y no le han dado tra…",2022-06-11 08:23:03,es,29,0,0,0,https://pbs.twimg.com/profile_images/915560659890393088/gEbpErW__normal.jpg,1,"

Yes, Aislin, he was integrated into the Ukrainian naval infantry, regular forces, not in Azov, and they haven't given him a weapon.",Relieved
5,1251200455029506048,1251200455029506048,1535538280057413632,FgcUoc,F Playero /♥️,RT @PsoeDipuCordoba: Colaboramos con la puesta en marcha de una cuenta corriente para recaudar fondos para las personas refugiadas como con…,2022-06-11 08:23:49,es,2,0,0,0,https://pbs.twimg.com/profile_images/1462434945977266177/q6P_LWHg_normal.jpg,1,"

We are collaborating with the launch of a bank account to collect funds for refugees like us.",Pride
0,915252237580070912,915252237580070912,1535538017514962944,ToreroJGP,Pepillo 🏛,"RT @Agenda2030_: Los que creyeron que Ucrania iba a ganar la guerra, son los mismos que irán con el bozal a ponerse la cuarta banderilla, q…",2022-06-11 08:22:46,es,768,0,0,0,https://pbs.twimg.com/profile_images/1462888345835646977/TdE4XWdh_normal.jpg,1,"

Translation:

Those who believed that Ukraine would win the war are the same ones who will go with the fourth arrow to put on their belt, expecting something to happen from it",Expectation
6,879257759254011904,879257759254011904,1535538349355810816,salvagp99,Salvador González,"RT @Agenda2030_: Los que creyeron que Ucrania iba a ganar la guerra, son los mismos que irán con el bozal a ponerse la cuarta banderilla, q…",2022-06-11 08:24:06,es,768,0,0,0,https://pbs.twimg.com/profile_images/1196118985131089922/xo2EhK93_normal.jpg,1,"

Translation:

Those who believed that Ukraine would win the war are the same ones who will go with the fourth arrow to put on their belt, expecting something to happen from it",Despair
1,185655292,185655292,1535538047583920129,elimiguez,𝕷𝖆𝖉𝖞𝕶𝖆𝖓𝖍𝖆 🍀EᒪIᗰíGᑌEᘔᑭᗩᘔOᔕ🍀,RT @SusodeToro1: Publiqué opinión y fui colaborador de cabeceras de prensa y medios que ahora ni sigo ni puedo respetar. ¿Qué le ocurrió al…,2022-06-11 08:22:54,es,39,0,0,0,https://pbs.twimg.com/profile_images/1438759068441718787/bs0gBAka_normal.jpg,1,"

I published an opinion and became a collaborator with media heads that I now neither follow nor can respect. What happened to them?",Respect
2,1380044766549786626,1380044766549786626,1535538085085302784,boomboox_net,BOOMBOOX,En la peleilla esa de Ucrania lo malo ya ha pasado. Ahora viene lo peor. Esto es irrefutable. César Carballo – Reportero de guerra https://t.co/NnkCfSddAU,2022-06-11 08:23:03,es,0,0,0,0,https://pbs.twimg.com/profile_images/1441819944468066309/TRpNHOIR_normal.jpg,1,"

In the Ukraine conflict, that's bad already passed. Now comes the worst. This is irrefutable. César Carballo – War reporter",Worry
8,1252232225136848896,1252232225136848896,1535538548518027265,hrchfvive,IVAN NARVAEZ,"RT @WalterDossier: 1 Famoso exluchador rusoestadounidense de MMA Jeff Monson explica qué causó la guerra en Ucrania
El discurso es: Rusia i…",2022-06-11 08:24:53,es,120,0,0,0,https://pbs.twimg.com/profile_images/1252233257791311872/mx53Msx3_normal.jpg,1,"

1 Famous Russian MMA fighter Jeff Monson explains what caused the war in Ukraine",Anger
7,2847820359,2847820359,1535538357085917184,angies_spiral,Angie´s Spiral🔻,"RT @LaBasePublico: ""La invasión rusa de Ucrania ha acelerado un proceso de derechización social"" Pablo Iglesias

Esta semana hablamos del d…",2022-06-11 08:24:07,es,177,0,0,0,https://pbs.twimg.com/profile_images/1526683038079455232/_XGZ9NaT_normal.jpg,1, https://t.co/KfN4NfNx4K,Happiness
4,1361731040050638854,1361731040050638854,1535538172897157120,nombre_tipo,Mi Nombre Es Tipo De Incógnito,"@olhadekyiv El problema es que esto se ha convertido en una guerra de trincheras y artillería al más puro estilo IGM, y en ese escenario, Ucrania está en inferioridad artillera 40 a 1 frente a Rusia... la victoria así costará muchas vidas, a no ser que occidente salve esa brecha como debe",2022-06-11 08:23:23,es,0,0,0,0,https://pbs.twimg.com/profile_images/1524707958466220033/k2hMzPxT_normal.jpg,1,"

The problem is that this has turned into a trench warfare style IGM war, and in that scenario, Ukraine is at a artillery disadvantage of 40 to 1 against Russia... the victory will cost many lives unless the West saves that gap as it should",Despair
